point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
0,39668,57342,36833,54717,53875,65129,53828,65124
1,44101,51611,41259,48964,58286,63424,58241,63411
2,45635,48629,42806,45964,59794,61435,59765,61423
3,45885,47403,43036,44737,60018,60370,59983,60348
4,45933,46914,43090,44245,60083,59916,60034,59904
5,45894,46767,43048,44104,60026,59767,59986,59784
6,45877,46737,43026,44050,60012,59729,59965,59739
7,45880,46739,43040,44049,60001,59742,59978,59728
8,45887,46735,43055,44050,60008,59743,59989,59732
9,45894,46745,43036,44062,59998,59754,59982,59732
10,45875,46742,43034,44085,59994,59769,59972,59740
11,45874,46743,43035,44072,59997,59780,59959,59747
12,45877,46733,43031,44068,60005,59766,59976,59754
13,45864,46730,43037,44056,59991,59756,59963,59751
14,45851,46717,43015,44043,59992,59739,59962,59716
15,45827,46680,43012,44004,59962,59712,59943,59685
16,45814,46662,42995,43988,59956,59691,59930,59674
17,45817,46652,42995,43982,59965,59686,59912,59657
18,45825,46644,42976,43994,59944,59686,59926,59654
19,45818,46660,42977,43982,59944,59684,59928,59668
20,45820,46674,42981,43980,59950,59708,59939,59656
21,45832,46702,42996,44006,59970,59720,59950,59684
22,45835,46723,43014,44039,59983,59751,59948,59719
23,45858,46742,43026,44067,59998,59769,59967,59746
24,45885,46773,43041,44092,60013,59779,59994,59764
25,45901,46765,43066,44075,60025,59787,60008,59784
26,45908,46769,43066,44081,60032,59798,60006,59772
27,45914,46759,43061,44105,60027,59787,59999,59765
28,45894,46752,43050,44096,60017,59799,59979,59763
29,45892,46754,43049,44070,60018,59802,59985,59747
30,45895,46757,43049,44079,60021,59783,59986,59725
31,45904,46750,43064,44071,60021,59769,59996,59715
32,45892,46724,43055,44050,60024,59741,60002,59724
33,45903,46722,43061,44059,60032,59729,59995,59735
34,45907,46737,43058,44067,60031,59744,59992,59740
35,45905,46741,43058,44075,60025,59773,59997,59756
36,45906,46752,43067,44095,60035,59776,59993,59754
37,45909,46764,43081,44098,60042,59790,60002,59777
38,45905,46769,43076,44090,60044,59797,59999,59777
39,45904,46763,43077,44082,60043,59791,60002,59775
40,45888,46756,43050,44080,60020,59772,59982,59739
41,45866,46728,43048,44071,59997,59759,59976,59733
42,45872,46715,43033,44060,59998,59752,59966,59717
43,45880,46734,43020,44059,59992,59747,59968,59715
44,45860,46722,43015,44051,59984,59741,59964,59714
45,45860,46712,43019,44019,59988,59714,59964,59707
46,45843,46687,43014,44003,59990,59702,59968,59696
